,jed,sun_rise_time,sun_set_time,dusk_time,dawn_time,venus_rise_time,venus_set_time,visible_at_down,visible_after_dawn,visible_at_dusk,visible_before_dusk,az_horizon,az_twilight,el_twilight
0,625333.0,625333.6970513051,625333.1414115846,625333.6410866515,625333.1974123745,625333.7843018747,625333.2435252925,True,True,False,False,251.22706182492522,243.76428785474255,13.499763026598067
1,625334.0,625334.6971251362,625334.1417991803,625334.641206569,625334.1977562298,625334.7842872296,625334.2446412963,True,True,False,False,251.68170653683794,244.08888576485825,13.772540291480865
2,625335.0,625335.6971820528,625335.14219034,625335.6413122419,625335.1981009108,625335.7842477215,625335.24574586,True,True,False,False,252.14394641910772,244.423810920999,14.04311823545092
3,625336.0,625336.6972219765,625336.1425847011,625336.6414034988,625336.1984461596,625336.7841839134,625336.2468388297,True,True,False,False,252.61348094341108,244.7687627948413,14.311442216994873
4,625337.0,625337.6972448367,625337.1429818997,625337.6414801815,625337.1987916902,625337.784096376,625337.2479200854,True,True,False,False,253.09006422293788,245.12357746184512,14.577575415362542
5,625338.0,625338.6972505711,625338.1433815693,625338.6415421283,625338.1991372408,625338.7839856851,625338.2489895362,True,True,False,False,253.57342305012133,245.48795439368698,14.841536613574148
6,625339.0,625339.6972399328,625339.1437833388,625339.6415891838,625339.199482533,625339.7838524212,625339.2500471182,True,True,False,False,254.0633661796647,245.86175698658343,15.103045773873717
7,625340.0,625340.6972104562,625340.1441868346,625340.6416211979,625340.1998272943,625340.7836971686,625340.2510927913,True,True,False,False,254.55956576248778,246.24465739145435,15.362072160409989
8,625341.0,625341.6971645278,625341.1445916805,625341.641638033,625341.200171264,625341.7835205151,625341.2521265405,True,True,False,False,255.06183055329385,246.63646436300294,15.61849965996707
9,625342.0,625342.6971013157,625342.1449975001,625342.6416395459,625342.2005141597,625342.7833230512,625342.2531483734,True,True,False,False,255.5698600237594,247.0368773729058,15.87232144235579
10,625343.0,625343.6970208043,625343.145403916,625343.6416256173,625343.2008557264,625343.7831053685,625343.254158319,True,True,False,False,256.083435607831,247.44567785510938,16.1236399604137
11,625344.0,625344.6969229861,625344.1458105515,625344.6415961217,625344.2011957,625344.7828680589,625344.2551564251,True,True,False,False,256.60228409794183,247.86259260204696,16.37238349715452
12,625345.0,625345.6968078609,625345.1462170272,625345.6415509369,625345.2015338136,625345.7826117126,625345.2561427574,True,True,False,False,257.1261869280385,248.28732108539504,16.61857595824034
13,625346.0,625346.6966754342,625346.1466229632,625346.641489954,625346.2018698025,625346.7823369158,625346.2571173946,True,True,False,False,257.65489821131087,248.71964473910018,16.86218660781989
14,625347.0,625347.6965257179,625347.1470279775,625347.641413065,625347.202203411,625347.782044251,625347.2580804273,True,True,False,False,258.1881174194354,249.15926303483886,17.103218860987763
15,625348.0,625348.6963587306,625348.1474316888,625348.6413201689,625348.2025343677,625348.7817342964,625348.2590319565,True,True,False,False,258.7256533071154,249.60590276504433,17.341647104534566
16,625349.0,625349.6961745017,625349.1478337217,625349.6412108546,625349.2028624336,625349.7814076259,625349.2599720936,True,True,False,False,259.26720534602737,250.0592634013931,17.577514027142616
17,625350.0,625350.6959730745,625350.148233711,625350.6410843302,625350.2031883931,625350.7810648116,625350.2609009643,True,True,False,False,259.81258229087456,250.51929030237181,17.810433723123808
18,625351.0,625351.6957545108,625351.1486313092,625351.640947273,625351.2035113607,625351.7807064217,625351.2618187072,True,True,False,False,260.36148361333346,250.98551901511686,18.040645249099086
19,625352.0,625352.6955188911,625352.1490261888,625352.6407880747,625352.2038250383,625352.7803330214,625352.262725476,True,True,False,False,260.9137180681073,251.4565835017943,18.270069595772522
20,625353.0,625353.6952663166,625353.1494180434,625353.640612503,625353.2041408143,625353.77994517,625353.2636214355,True,True,False,False,261.4690124476294,251.93434157385838,18.495050904390865
21,625354.0,625354.6949969088,625354.1498065856,625354.6404205128,625354.2044527603,625354.7795434215,625354.2645067596,True,True,False,False,262.0271481858461,252.41742719347502,18.717395759989582
22,625355.0,625355.6947108095,625355.1501915492,625355.6402178747,625355.2047550017,625355.7791283266,625355.2653816303,True,True,False,False,262.5878793959475,252.904501643567,18.938932945718946
23,625356.0,625356.6944081809,625356.1505726879,625356.639993162,625356.2050589912,625356.7787004348,625356.2662462383,True,True,False,False,263.15098751188003,253.39745005634515,19.15598952735278
24,625357.0,625357.6940892062,625357.1509497797,625357.6397541637,625357.2053574465,625357.7782602988,625357.2671007875,True,True,False,False,263.71619932607695,253.8946331864087,19.370848495621164
25,625358.0,625358.6937540874,625358.1513226288,625358.6394990827,625358.2056508182,625358.7778084753,625358.2679454961,True,True,False,False,264.2833235932414,254.39591442997428,19.583289576923363
