,MN,HD,HR,HIP,Gl,Name,OtherDesignations,ProperName,Bayer,Flamsteed,Constellation,RAJ2000,DecJ2000,pmRA,pmDec,RadVel,Distance,Vmag,Vmag_min,Vmag_max,B-V,SpType,Luminosity,XJ2000,YJ2000,ZJ2000,VXJ2000,VYJ2000,VZJ2000,Primary,MultipleID,IsMultiple,IsVariable
1,2,48915,2491,32349,Gl 244A,Sirius,9 CMa/9Alp CMa/Gl 244A/HD 48915/HIP 32349/HR 2491/HYG 32263/MN 2/Sirius/α CMa,Sirius,α CMa,9 CMa,CMa,6.752481,-16.716116,-546.01,-1223.08,-9.4,2.6371,-1.44,-1.333,-1.523,0.009,A0m...,22.82443312173504,-0.494323,2.476731,-0.758485,-1.221e-05,-1.207e-05,9.53e-06,32263,Gl 244,1,1
2,3,45348,2326,30438,,Canopus,Alp Car/Canopus/HD 45348/HIP 30438/HR 2326/HYG 30365/MN 3/α Car,Canopus,α Car,,Car,6.399195,-52.69566,19.99,23.67,21.0,94.7867,-0.62,-0.547,-0.667,0.164,F0Ib,13854.791675667217,-5.992679,57.132034,-75.396105,-1.049e-05,2.059e-05,-1.14e-05,30365,,0,1
3,4,124897,5340,69673,Gl 541,Arcturus,16 Boo/16Alp Boo/Arcturus/Gl 541/HD 124897/HIP 69673/HR 5340/HYG 69450/MN 4/α Boo,Arcturus,α Boo,16 Boo,Boo,14.26103,19.18241,-1093.45,-1999.4,-5.0,11.2575,-0.05,,,1.239,K2IIIp,115.55799554021291,-8.823448,-5.932531,3.698938,-0.00010473,3.22e-05,-5.905e-05,69451,,0,0
4,5,128620,5459,71683,Gl 559A,Rigil Kentaurus,Alp1Cen/Gl 559A/HD 128620/HIP 71683/HR 5459/HYG 71455/MN 5/Rigil Kentaurus/α1 Cen,Rigil Kentaurus,α1 Cen,,Cen,14.660765,-60.833976,-3678.19,481.84,-26.2,1.3248,-0.01,0.113,-0.087,0.71,G2V,1.543121065657792,-0.495203,-0.414084,-1.156625,2.491e-05,2.476e-05,-7.22e-06,71456,Gl 559,1,1
5,6,172167,7001,91262,Gl 721,Vega,3 Lyr/3Alp Lyr/Gl 721/HD 172167/HIP 91262/HR 7001/HYG 90978/MN 6/Vega/α Lyr,Vega,α Lyr,3 Lyr,Lyr,18.61564,38.783692,201.02,287.46,-12.1,7.6787,0.03,,,-0.001,A0Vvar,49.93441887213498,0.960565,-5.908009,4.809731,5.9e-07,1.734e-05,4.76e-06,90979,,0,0
6,7,34029,1708,24608,Gl 194A,Capella,13 Aur/13Alp Aur/Capella/Gl 194A/HD 34029/HIP 24608/HR 1708/HYG 24549/MN 7/α Aur,Capella,α Aur,13 Aur,Aur,5.27815,45.997991,75.52,-427.13,22.2,13.1234,0.08,,,0.795,M1: comp,139.3156802945302,1.712633,8.954439,9.440007,-2.54e-06,3.559e-05,1.92e-06,24549,Gl 194,1,0
7,8,34085,1713,24436,,Rigel,19 Ori/19Bet Ori/HD 34085/HIP 24436/HR 1713/HYG 24378/MN 8/Rigel/β Ori,Rigel,β Ori,19 Ori,Ori,5.242298,-8.20164,1.87,-0.56,21.0,264.5503,0.18,,,-0.03,B8Ia,51665.42425669497,51.601106,256.709905,-37.740051,-3.77e-06,2.121e-05,1.82e-06,24378,,0,0
8,9,61421,2943,37279,Gl 280A,Procyon,10 CMi/10Alp CMi/Gl 280A/HD 61421/HIP 37279/HR 2943/HYG 37173/MN 9/Procyon/α CMi,Procyon,α CMi,10 CMi,CMi,7.655033,5.224993,-716.57,-1034.58,-4.0,3.5142,0.4,,,0.432,F5IV-V,7.4404636619191935,-1.469312,3.17617,0.320024,-1.792e-05,2.89e-06,1.212e-05,37173,Gl 280,1,0
9,10,10144,472,7588,,Achernar,Achernar/Alp Eri/HD 10144/HIP 7588/HR 472/HYG 7574/MN 10/α Eri,Achernar,α Eri,,Eri,1.628556,-57.236757,88.02,-40.08,16.0,42.7533,0.45,0.487,0.427,-0.158,B3Vp,1051.9618738232234,21.065573,9.568417,-35.951967,-1.826e-05,1.738e-05,-5.84e-06,7574,,0,1
10,11,39801,2061,27989,,Betelgeuse,58 Ori/58Alp Ori/Betelgeuse/HD 39801/HIP 27989/HR 2061/HYG 27919/MN 11/α Ori,Betelgeuse,α Ori,58 Ori,Ori,5.919529,7.407063,27.33,10.86,21.0,152.6718,0.45,0.571,0.281,1.5,M2Ib,13415.28798266127,3.189296,151.364387,19.682142,1.074e-05,2.068e-05,-1.98e-05,27919,,0,1
